runtime,seed,suboptimality,agent num,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value, root f value,#adopt bypasses,cardinal conflicts,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,chosen from cleanup,chosen from open,chosen from focal,#solve MVCs,#merge MDDs,#solve 2 agents,#memoization,cost error,distance error,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
0.130739,2,1.5,100,1,1,21702,95771,17877,17865,17865,17865,4,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0.007954,2.7e-05,0.001446,0,0,0,0.014779,0,0.002274,0.006708,0.006856,1.27469,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.130647,3,1.5,100,1,1,21702,95771,17877,17865,17865,17865,4,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0.007994,2.9e-05,0.001407,0,0,0,0.014321,1e-06,0.002361,0.006812,0.006954,1.26729,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.130437,4,1.5,100,1,1,21702,95771,17877,17865,17865,17865,4,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0.007962,2.6e-05,0.001431,0,0,0,0.014187,3e-06,0.002518,0.006992,0.007139,1.29535,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.130377,5,1.5,100,1,1,21702,95771,17877,17865,17865,17865,4,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0.007894,2.9e-05,0.00141,0,0,0,0.014867,2e-06,0.002276,0.006731,0.00688,1.24608,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.163001,1,1.5,110,1,1,24158,106448,19347,19332,19332,19332,5,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0.014285,2.8e-05,0.001762,0,0,0,0.021097,3e-06,0.003584,0.010349,0.010581,1.3683,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.164065,2,1.5,110,1,1,24158,106448,19347,19332,19332,19332,5,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0.014382,2.9e-05,0.001783,0,0,0,0.021125,2e-06,0.00372,0.010492,0.010733,1.39075,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.163088,3,1.5,110,1,1,24158,106448,19347,19332,19332,19332,5,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0.014284,2.9e-05,0.001757,0,0,0,0.02146,2e-06,0.003911,0.010834,0.011071,1.37924,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.163927,4,1.5,110,1,1,24158,106448,19347,19332,19332,19332,5,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0.014912,3.3e-05,0.001791,0,0,0,0.021814,5e-06,0.003531,0.010203,0.010437,1.37245,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.163319,5,1.5,110,1,1,24158,106448,19347,19332,19332,19332,5,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0.014314,3.1e-05,0.001763,0,0,0,0.021218,2e-06,0.003685,0.010465,0.010694,1.39968,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.185656,1,1.5,120,1,1,28178,120581,21285,21264,21264,21264,6,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0.009601,3.3e-05,0.002095,0,0,0,0.026149,2e-06,0.004774,0.013148,0.01344,1.48008,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
